TimeStamp,HeartRate
3.258,120.0
3.684,140.9
4.184,120.0
4.758,104.5
5.258,120.0
5.684,140.9
6.184,120.0
6.758,104.5
7.258,120.0
7.684,140.9
8.207,114.6
8.707,120.0
9.332,96.0
9.855,114.6
10.672,73.5
10.789,512.0
11.559,78.0
11.855,202.1
12.445,101.7
13.270,72.8
13.297,2194.3
14.172,68.6
14.305,451.8
15.055,80.0
15.707,92.0
15.953,243.8
16.777,72.8
16.824,1280.0
17.684,69.8
17.801,512.0
18.527,82.6
19.277,80.0
19.352,808.4
20.184,72.1
20.305,495.5
21.012,84.9
21.730,83.5
21.879,404.2
22.723,71.1
22.781,1024.0
23.559,77.2
24.242,87.8
24.398,384.0
25.246,70.8
25.285,1536.0
26.090,74.6
26.773,87.8
26.945,349.1
27.781,71.8
27.809,2194.3
28.688,68.3
28.789,590.8
29.547,79.2
30.281,81.7
30.344,960.0
31.137,75.7
31.637,120.0
31.926,207.6
32.742,73.5
32.789,1280.0
33.559,78.0
34.129,105.2
34.383,236.3
35.223,71.4
35.289,903.5
36.074,76.4
36.727,92.0
36.895,357.2
37.746,70.5
37.789,1396.4
38.586,75.3
38.930,174.5
39.449,115.5
40.281,72.1
40.289,7680.0
41.121,72.1
41.785,90.4
41.957,349.1
42.785,72.5
42.789,15360.0
43.598,74.2
44.230,94.8
44.395,365.7
45.184,76.0
45.688,119.1
45.969,213.3
46.734,78.4
46.789,1097.1
47.473,87.8
48.230,79.2
48.289,1024.0
49.012,83.0
49.785,77.6
49.816,1920.0
50.590,77.6
51.215,96.0
51.371,384.0
52.164,75.7
52.320,384.0
52.969,92.5
53.742,77.6
53.789,1280.0
54.500,84.4
55.254,79.6
55.289,1706.7
56.000,84.4
56.742,80.8
56.789,1280.0
57.480,86.8
58.234,79.6
58.289,1097.1
58.988,85.8
59.734,80.4
59.789,1097.1
60.453,90.4
61.180,82.6
61.754,104.5
61.914,374.6
62.645,82.1
63.031,155.2
63.367,178.6
64.102,81.7
64.789,87.3
64.855,903.5
65.637,76.8
66.242,99.1
66.410,357.2
67.184,77.6
67.598,144.9
67.965,163.4
68.762,75.3
68.793,1920.0
69.555,78.8
70.289,81.7
70.340,1181.5
71.145,74.6
71.441,202.1
71.969,113.8
72.773,74.6
72.801,2194.3
73.555,79.6
74.285,82.1
74.316,1920.0
75.105,76.0
75.750,93.1
75.922,349.1
76.754,72.1
76.797,1396.4
77.570,77.6
78.242,89.3
78.746,119.1
79.266,115.5
